"t","N"
1,10
2,15
3,9
4,7
5,4
6,7
7,6
8,6
9,7
10,11
11,14
12,18
13,17
14,21
15,29
16,28
17,25
18,28
19,36
20,45
21,49
22,54
23,62
24,64
25,71
26,64
27,69
28,62
29,67
30,74
31,91
32,103
33,117
34,129
35,138
36,158
37,195
38,196
39,209
40,217
41,240
42,242
43,251
44,254
45,269
46,283
47,307
48,296
49,265
50,288
51,289
52,304
53,314
54,344
55,333
56,360
57,390
58,429
59,449
60,518
61,568
62,631
63,683
64,704
65,711
66,722
67,741
68,764
69,777
70,814
71,783
72,834
73,900
74,938
75,1012
76,1023
77,1054
78,1120
79,1080
80,1048
81,1101
82,1175
83,1271
84,1290
85,1342
86,1514
87,1581
88,1635
89,1763
90,1871
91,1918
92,1988
93,2063
94,2120
95,2127
96,2208
97,2310
98,2404
99,2480
100,2573
